,Date,Financial Statement Present,NET PROFIT MARGIN,GROSS MARGIN,INTEREST EXPENSE,REVENUE,EBITDA MARGIN,DIVIDEND PER SHARE,INCOME TAX EXPENSE
289,2010-04-15,0,,,,,,,
290,2010-04-16,0,,,,,,,
291,2010-04-17,0,,,,,,,
292,2010-04-18,0,,,,,,,
293,2010-04-19,0,,,,,,,
294,2010-04-20,0,,,,,,,
295,2010-04-21,0,,,,,,,
296,2010-04-22,0,,,,,,,
297,2010-04-23,0,,,,,,,
298,2010-04-24,0,,,,,,,
299,2010-04-25,0,,,,,,,
300,2010-04-26,0,,,,,,,
301,2010-04-27,0,,,,,,,
302,2010-04-28,0,,,,,,,
303,2010-04-29,0,,,,,,,
304,2010-04-30,0,,,,,,,
305,2010-05-01,0,,,,,,,
306,2010-05-02,0,,,,,,,
307,2010-05-03,0,,,,,,,
308,2010-05-04,0,,,,,,,
309,2010-05-05,0,,,,,,,
310,2010-05-06,0,,,,,,,
311,2010-05-07,0,,,,,,,
312,2010-05-08,0,,,,,,,
313,2010-05-09,0,,,,,,,
314,2010-05-10,0,,,,,,,
315,2010-05-11,0,,,,,,,
316,2010-05-12,0,,,,,,,
317,2010-05-13,0,,,,,,,
318,2010-05-14,0,,,,,,,
319,2010-05-15,0,,,,,,,
320,2010-05-16,0,,,,,,,
321,2010-05-17,0,,,,,,,
322,2010-05-18,0,,,,,,,
323,2010-05-19,0,,,,,,,
324,2010-05-20,0,,,,,,,
325,2010-05-21,0,,,,,,,
326,2010-05-22,0,,,,,,,
327,2010-05-23,0,,,,,,,
328,2010-05-24,0,,,,,,,
329,2010-05-25,0,,,,,,,
330,2010-05-26,0,,,,,,,
331,2010-05-27,0,,,,,,,
332,2010-05-28,0,,,,,,,
333,2010-05-29,0,,,,,,,
334,2010-05-30,0,,,,,,,
335,2010-05-31,0,,,,,,,
336,2010-06-01,0,,,,,,,
337,2010-06-02,0,,,,,,,
338,2010-06-03,0,,,,,,,
339,2010-06-04,0,,,,,,,
340,2010-06-05,0,,,,,,,
341,2010-06-06,0,,,,,,,
342,2010-06-07,0,,,,,,,
343,2010-06-08,0,,,,,,,
344,2010-06-09,0,,,,,,,
345,2010-06-10,0,,,,,,,
346,2010-06-11,0,,,,,,,
347,2010-06-12,0,,,,,,,
348,2010-06-13,0,,,,,,,
349,2010-06-14,0,,,,,,,
350,2010-06-15,0,,,,,,,
351,2010-06-16,0,,,,,,,
352,2010-06-17,0,,,,,,,
353,2010-06-18,0,,,,,,,
354,2010-06-19,0,,,,,,,
355,2010-06-20,0,,,,,,,
356,2010-06-21,0,,,,,,,
357,2010-06-22,0,,,,,,,
358,2010-06-23,0,,,,,,,
359,2010-06-24,0,,,,,,,
360,2010-06-25,0,,,,,,,
361,2010-06-26,0,,,,,,,
362,2010-06-27,0,,,,,,,
363,2010-06-28,0,,,,,,,
364,2010-06-29,0,,,,,,,
365,2010-06-30,1,0.08,0.31,40000000.0,92486000000.0,0.17,0.44,4960000000.0
366,2010-07-01,0,,,,,,,
367,2010-07-02,0,,,,,,,
368,2010-07-03,0,,,,,,,
369,2010-07-04,0,,,,,,,
370,2010-07-05,0,,,,,,,
371,2010-07-06,0,,,,,,,
372,2010-07-07,0,,,,,,,
373,2010-07-08,0,,,,,,,
374,2010-07-09,0,,,,,,,
375,2010-07-10,0,,,,,,,
376,2010-07-11,0,,,,,,,
377,2010-07-12,0,,,,,,,
378,2010-07-13,0,,,,,,,
379,2010-07-14,0,,,,,,,
380,2010-07-15,0,,,,,,,
381,2010-07-16,0,,,,,,,
382,2010-07-17,0,,,,,,,
383,2010-07-18,0,,,,,,,
384,2010-07-19,0,,,,,,,
385,2010-07-20,0,,,,,,,
386,2010-07-21,0,,,,,,,
387,2010-07-22,0,,,,,,,
388,2010-07-23,0,,,,,,,
389,2010-07-24,0,,,,,,,
390,2010-07-25,0,,,,,,,
391,2010-07-26,0,,,,,,,
392,2010-07-27,0,,,,,,,
393,2010-07-28,0,,,,,,,
394,2010-07-29,0,,,,,,,
395,2010-07-30,0,,,,,,,
396,2010-07-31,0,,,,,,,
397,2010-08-01,0,,,,,,,
398,2010-08-02,0,,,,,,,
399,2010-08-03,0,,,,,,,
400,2010-08-04,0,,,,,,,
401,2010-08-05,0,,,,,,,
402,2010-08-06,0,,,,,,,
403,2010-08-07,0,,,,,,,
404,2010-08-08,0,,,,,,,
405,2010-08-09,0,,,,,,,
406,2010-08-10,0,,,,,,,
407,2010-08-11,0,,,,,,,
408,2010-08-12,0,,,,,,,
409,2010-08-13,0,,,,,,,
410,2010-08-14,0,,,,,,,
411,2010-08-15,0,,,,,,,
412,2010-08-16,0,,,,,,,
413,2010-08-17,0,,,,,,,
414,2010-08-18,0,,,,,,,
415,2010-08-19,0,,,,,,,
416,2010-08-20,0,,,,,,,
417,2010-08-21,0,,,,,,,
418,2010-08-22,0,,,,,,,
419,2010-08-23,0,,,,,,,
420,2010-08-24,0,,,,,,,
421,2010-08-25,0,,,,,,,
422,2010-08-26,0,,,,,,,
423,2010-08-27,0,,,,,,,
424,2010-08-28,0,,,,,,,
425,2010-08-29,0,,,,,,,
426,2010-08-30,0,,,,,,,
427,2010-08-31,0,,,,,,,
428,2010-09-01,0,,,,,,,
429,2010-09-02,0,,,,,,,
430,2010-09-03,0,,,,,,,
431,2010-09-04,0,,,,,,,
432,2010-09-05,0,,,,,,,
433,2010-09-06,0,,,,,,,
434,2010-09-07,0,,,,,,,
435,2010-09-08,0,,,,,,,
436,2010-09-09,0,,,,,,,
437,2010-09-10,0,,,,,,,
438,2010-09-11,0,,,,,,,
439,2010-09-12,0,,,,,,,
440,2010-09-13,0,,,,,,,
441,2010-09-14,0,,,,,,,
442,2010-09-15,0,,,,,,,
443,2010-09-16,0,,,,,,,
444,2010-09-17,0,,,,,,,
445,2010-09-18,0,,,,,,,
446,2010-09-19,0,,,,,,,
447,2010-09-20,0,,,,,,,
448,2010-09-21,0,,,,,,,
449,2010-09-22,0,,,,,,,
450,2010-09-23,0,,,,,,,
451,2010-09-24,0,,,,,,,
452,2010-09-25,0,,,,,,,
453,2010-09-26,0,,,,,,,
454,2010-09-27,0,,,,,,,
455,2010-09-28,0,,,,,,,
456,2010-09-29,0,,,,,,,
457,2010-09-30,1,0.08,0.38,54000000.0,92855000000.0,0.18,0.46,5297000000.0
458,2010-10-01,0,,,,,,,
459,2010-10-02,0,,,,,,,
460,2010-10-03,0,,,,,,,
461,2010-10-04,0,,,,,,,
462,2010-10-05,0,,,,,,,
463,2010-10-06,0,,,,,,,
464,2010-10-07,0,,,,,,,
465,2010-10-08,0,,,,,,,
466,2010-10-09,0,,,,,,,
467,2010-10-10,0,,,,,,,
468,2010-10-11,0,,,,,,,
469,2010-10-12,0,,,,,,,
470,2010-10-13,0,,,,,,,
471,2010-10-14,0,,,,,,,
472,2010-10-15,0,,,,,,,
473,2010-10-16,0,,,,,,,
474,2010-10-17,0,,,,,,,
475,2010-10-18,0,,,,,,,
476,2010-10-19,0,,,,,,,
477,2010-10-20,0,,,,,,,
478,2010-10-21,0,,,,,,,
479,2010-10-22,0,,,,,,,
480,2010-10-23,0,,,,,,,
481,2010-10-24,0,,,,,,,
482,2010-10-25,0,,,,,,,
483,2010-10-26,0,,,,,,,
484,2010-10-27,0,,,,,,,
485,2010-10-28,0,,,,,,,
486,2010-10-29,0,,,,,,,
487,2010-10-30,0,,,,,,,
488,2010-10-31,0,,,,,,,
489,2010-11-01,0,,,,,,,
490,2010-11-02,0,,,,,,,
491,2010-11-03,0,,,,,,,
492,2010-11-04,0,,,,,,,
493,2010-11-05,0,,,,,,,
494,2010-11-06,0,,,,,,,
495,2010-11-07,0,,,,,,,
496,2010-11-08,0,,,,,,,
497,2010-11-09,0,,,,,,,
498,2010-11-10,0,,,,,,,
499,2010-11-11,0,,,,,,,
500,2010-11-12,0,,,,,,,
501,2010-11-13,0,,,,,,,
502,2010-11-14,0,,,,,,,
503,2010-11-15,0,,,,,,,
504,2010-11-16,0,,,,,,,
505,2010-11-17,0,,,,,,,
506,2010-11-18,0,,,,,,,
507,2010-11-19,0,,,,,,,
508,2010-11-20,0,,,,,,,
509,2010-11-21,0,,,,,,,
510,2010-11-22,0,,,,,,,
511,2010-11-23,0,,,,,,,
512,2010-11-24,0,,,,,,,
513,2010-11-25,0,,,,,,,
514,2010-11-26,0,,,,,,,
515,2010-11-27,0,,,,,,,
516,2010-11-28,0,,,,,,,
517,2010-11-29,0,,,,,,,
518,2010-11-30,0,,,,,,,
519,2010-12-01,0,,,,,,,
520,2010-12-02,0,,,,,,,
521,2010-12-03,0,,,,,,,
522,2010-12-04,0,,,,,,,
523,2010-12-05,0,,,,,,,
524,2010-12-06,0,,,,,,,
525,2010-12-07,0,,,,,,,
526,2010-12-08,0,,,,,,,
527,2010-12-09,0,,,,,,,
528,2010-12-10,0,,,,,,,
529,2010-12-11,0,,,,,,,
530,2010-12-12,0,,,,,,,
531,2010-12-13,0,,,,,,,
532,2010-12-14,0,,,,,,,
533,2010-12-15,0,,,,,,,
534,2010-12-16,0,,,,,,,
535,2010-12-17,0,,,,,,,
536,2010-12-18,0,,,,,,,
537,2010-12-19,0,,,,,,,
538,2010-12-20,0,,,,,,,
539,2010-12-21,0,,,,,,,
540,2010-12-22,0,,,,,,,
541,2010-12-23,0,,,,,,,
542,2010-12-24,0,,,,,,,
543,2010-12-25,0,,,,,,,
544,2010-12-26,0,,,,,,,
545,2010-12-27,0,,,,,,,
546,2010-12-28,0,,,,,,,
547,2010-12-29,0,,,,,,,
548,2010-12-30,0,,,,,,,
549,2010-12-31,1,0.09,0.09,110000000.0,101733000000.0,0.19,0.54,5811000000.0
550,2011-01-01,0,,,,,,,
551,2011-01-02,0,,,,,,,
552,2011-01-03,0,,,,,,,
553,2011-01-04,0,,,,,,,
554,2011-01-05,0,,,,,,,
555,2011-01-06,0,,,,,,,
556,2011-01-07,0,,,,,,,
557,2011-01-08,0,,,,,,,
558,2011-01-09,0,,,,,,,
559,2011-01-10,0,,,,,,,
560,2011-01-11,0,,,,,,,
561,2011-01-12,0,,,,,,,
562,2011-01-13,0,,,,,,,
563,2011-01-14,0,,,,,,,
564,2011-01-15,0,,,,,,,
565,2011-01-16,0,,,,,,,
566,2011-01-17,0,,,,,,,
567,2011-01-18,0,,,,,,,
568,2011-01-19,0,,,,,,,
569,2011-01-20,0,,,,,,,
570,2011-01-21,0,,,,,,,
571,2011-01-22,0,,,,,,,
572,2011-01-23,0,,,,,,,
573,2011-01-24,0,,,,,,,
574,2011-01-25,0,,,,,,,
575,2011-01-26,0,,,,,,,
576,2011-01-27,0,,,,,,,
577,2011-01-28,0,,,,,,,
578,2011-01-29,0,,,,,,,
579,2011-01-30,0,,,,,,,
580,2011-01-31,0,,,,,,,
581,2011-02-01,0,,,,,,,
582,2011-02-02,0,,,,,,,
583,2011-02-03,0,,,,,,,
584,2011-02-04,0,,,,,,,
585,2011-02-05,0,,,,,,,
586,2011-02-06,0,,,,,,,
587,2011-02-07,0,,,,,,,
588,2011-02-08,0,,,,,,,
589,2011-02-09,0,,,,,,,
590,2011-02-10,0,,,,,,,
591,2011-02-11,0,,,,,,,
592,2011-02-12,0,,,,,,,
593,2011-02-13,0,,,,,,,
594,2011-02-14,0,,,,,,,
595,2011-02-15,0,,,,,,,
596,2011-02-16,0,,,,,,,
597,2011-02-17,0,,,,,,,
598,2011-02-18,0,,,,,,,
599,2011-02-19,0,,,,,,,
600,2011-02-20,0,,,,,,,
601,2011-02-21,0,,,,,,,
602,2011-02-22,0,,,,,,,
603,2011-02-23,0,,,,,,,
604,2011-02-24,0,,,,,,,
605,2011-02-25,0,,,,,,,
606,2011-02-26,0,,,,,,,
607,2011-02-27,0,,,,,,,
608,2011-02-28,0,,,,,,,
609,2011-03-01,0,,,,,,,
610,2011-03-02,0,,,,,,,
611,2011-03-03,0,,,,,,,
612,2011-03-04,0,,,,,,,
613,2011-03-05,0,,,,,,,
614,2011-03-06,0,,,,,,,
615,2011-03-07,0,,,,,,,
616,2011-03-08,0,,,,,,,
617,2011-03-09,0,,,,,,,
618,2011-03-10,0,,,,,,,
619,2011-03-11,0,,,,,,,
620,2011-03-12,0,,,,,,,
621,2011-03-13,0,,,,,,,
622,2011-03-14,0,,,,,,,
623,2011-03-15,0,,,,,,,
624,2011-03-16,0,,,,,,,
625,2011-03-17,0,,,,,,,
626,2011-03-18,0,,,,,,,
627,2011-03-19,0,,,,,,,
628,2011-03-20,0,,,,,,,
629,2011-03-21,0,,,,,,,
630,2011-03-22,0,,,,,,,
631,2011-03-23,0,,,,,,,
632,2011-03-24,0,,,,,,,
633,2011-03-25,0,,,,,,,
634,2011-03-26,0,,,,,,,
635,2011-03-27,0,,,,,,,
636,2011-03-28,0,,,,,,,
637,2011-03-29,0,,,,,,,
638,2011-03-30,0,,,,,,,
639,2011-03-31,1,0.1,0.29,29000000.0,110177000000.0,0.21,0.44,8004000000.0
640,2011-04-01,0,,,,,,,
641,2011-04-02,0,,,,,,,
642,2011-04-03,0,,,,,,,
643,2011-04-04,0,,,,,,,
644,2011-04-05,0,,,,,,,
645,2011-04-06,0,,,,,,,
646,2011-04-07,0,,,,,,,
647,2011-04-08,0,,,,,,,
648,2011-04-09,0,,,,,,,
649,2011-04-10,0,,,,,,,
650,2011-04-11,0,,,,,,,
651,2011-04-12,0,,,,,,,
652,2011-04-13,0,,,,,,,
653,2011-04-14,0,,,,,,,
654,2011-04-15,0,,,,,,,
655,2011-04-16,0,,,,,,,
656,2011-04-17,0,,,,,,,
657,2011-04-18,0,,,,,,,
658,2011-04-19,0,,,,,,,
659,2011-04-20,0,,,,,,,
660,2011-04-21,0,,,,,,,
661,2011-04-22,0,,,,,,,
662,2011-04-23,0,,,,,,,
663,2011-04-24,0,,,,,,,
664,2011-04-25,0,,,,,,,
665,2011-04-26,0,,,,,,,
666,2011-04-27,0,,,,,,,
667,2011-04-28,0,,,,,,,
668,2011-04-29,0,,,,,,,
669,2011-04-30,0,,,,,,,
670,2011-05-01,0,,,,,,,
671,2011-05-02,0,,,,,,,
672,2011-05-03,0,,,,,,,
673,2011-05-04,0,,,,,,,
674,2011-05-05,0,,,,,,,
675,2011-05-06,0,,,,,,,
676,2011-05-07,0,,,,,,,
677,2011-05-08,0,,,,,,,
678,2011-05-09,0,,,,,,,
679,2011-05-10,0,,,,,,,
680,2011-05-11,0,,,,,,,
681,2011-05-12,0,,,,,,,
682,2011-05-13,0,,,,,,,
683,2011-05-14,0,,,,,,,
684,2011-05-15,0,,,,,,,
685,2011-05-16,0,,,,,,,
686,2011-05-17,0,,,,,,,
687,2011-05-18,0,,,,,,,
688,2011-05-19,0,,,,,,,
689,2011-05-20,0,,,,,,,
690,2011-05-21,0,,,,,,,
691,2011-05-22,0,,,,,,,
692,2011-05-23,0,,,,,,,
693,2011-05-24,0,,,,,,,
694,2011-05-25,0,,,,,,,
695,2011-05-26,0,,,,,,,
696,2011-05-27,0,,,,,,,
697,2011-05-28,0,,,,,,,
698,2011-05-29,0,,,,,,,
699,2011-05-30,0,,,,,,,
700,2011-05-31,0,,,,,,,
701,2011-06-01,0,,,,,,,
702,2011-06-02,0,,,,,,,
703,2011-06-03,0,,,,,,,
704,2011-06-04,0,,,,,,,
705,2011-06-05,0,,,,,,,
706,2011-06-06,0,,,,,,,
707,2011-06-07,0,,,,,,,
708,2011-06-08,0,,,,,,,
709,2011-06-09,0,,,,,,,
710,2011-06-10,0,,,,,,,
711,2011-06-11,0,,,,,,,
712,2011-06-12,0,,,,,,,
713,2011-06-13,0,,,,,,,
714,2011-06-14,0,,,,,,,
715,2011-06-15,0,,,,,,,
716,2011-06-16,0,,,,,,,
717,2011-06-17,0,,,,,,,
718,2011-06-18,0,,,,,,,
719,2011-06-19,0,,,,,,,
720,2011-06-20,0,,,,,,,
721,2011-06-21,0,,,,,,,
722,2011-06-22,0,,,,,,,
723,2011-06-23,0,,,,,,,
724,2011-06-24,0,,,,,,,
725,2011-06-25,0,,,,,,,
726,2011-06-26,0,,,,,,,
727,2011-06-27,0,,,,,,,
728,2011-06-28,0,,,,,,,
729,2011-06-29,0,,,,,,,
730,2011-06-30,1,0.09,0.27,45000000.0,121766000000.0,0.19,0.47,7721000000.0
731,2011-07-01,0,,,,,,,
732,2011-07-02,0,,,,,,,
733,2011-07-03,0,,,,,,,
734,2011-07-04,0,,,,,,,
735,2011-07-05,0,,,,,,,
736,2011-07-06,0,,,,,,,
737,2011-07-07,0,,,,,,,
738,2011-07-08,0,,,,,,,
739,2011-07-09,0,,,,,,,
740,2011-07-10,0,,,,,,,
741,2011-07-11,0,,,,,,,
742,2011-07-12,0,,,,,,,
743,2011-07-13,0,,,,,,,
744,2011-07-14,0,,,,,,,
745,2011-07-15,0,,,,,,,
746,2011-07-16,0,,,,,,,
747,2011-07-17,0,,,,,,,
748,2011-07-18,0,,,,,,,
749,2011-07-19,0,,,,,,,
750,2011-07-20,0,,,,,,,
751,2011-07-21,0,,,,,,,
752,2011-07-22,0,,,,,,,
