,Date,Interest Rate Present,EURO AREA(16 COUNTRIES)_LONG-TERM INTEREST RATES FORECAST,EURO AREA(16 COUNTRIES)_SHORT-TERM INTEREST RATES FORECAST,EURO AREA(16 COUNTRIES)_LONG-TERM INTEREST RATES,EURO AREA(16 COUNTRIES)_SHORT-TERM INTEREST RATES,CHINA_LONG-TERM INTEREST RATES FORECAST,CHINA_SHORT-TERM INTEREST RATES FORECAST,CHINA_LONG-TERM INTEREST RATES,CHINA_SHORT-TERM INTEREST RATES,INDIA_LONG-TERM INTEREST RATES FORECAST,INDIA_SHORT-TERM INTEREST RATES FORECAST,INDIA_LONG-TERM INTEREST RATES,INDIA_SHORT-TERM INTEREST RATES,UNITED STATES_LONG-TERM INTEREST RATES FORECAST,UNITED STATES_SHORT-TERM INTEREST RATES FORECAST,UNITED STATES_LONG-TERM INTEREST RATES,UNITED STATES_SHORT-TERM INTEREST RATES,EURO AREA(17 COUNTRIES)_LONG-TERM INTEREST RATES FORECAST,EURO AREA(17 COUNTRIES)_SHORT-TERM INTEREST RATES FORECAST,EURO AREA(17 COUNTRIES)_LONG-TERM INTEREST RATES,EURO AREA(17 COUNTRIES)_SHORT-TERM INTEREST RATES,EURO AREA(19 COUNTRIES)_LONG-TERM INTEREST RATES FORECAST,EURO AREA(19 COUNTRIES)_SHORT-TERM INTEREST RATES FORECAST,EURO AREA(19 COUNTRIES)_LONG-TERM INTEREST RATES,EURO AREA(19 COUNTRIES)_SHORT-TERM INTEREST RATES,RUSSIA_LONG-TERM INTEREST RATES FORECAST,RUSSIA_SHORT-TERM INTEREST RATES FORECAST,RUSSIA_LONG-TERM INTEREST RATES,RUSSIA_SHORT-TERM INTEREST RATES
20,1953-07-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1953-07-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1953-07-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1953-07-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1953-07-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1953-07-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1953-07-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1953-07-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1953-07-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1953-07-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1953-07-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1953-07-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1953-08-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1953-08-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1953-08-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1953-08-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1953-08-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1953-08-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1953-08-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1953-08-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1953-08-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1953-08-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1953-08-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1953-08-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1953-08-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1953-08-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1953-08-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1953-08-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1953-08-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1953-08-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1953-08-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1953-08-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1953-08-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1953-08-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1953-08-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1953-08-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1953-08-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1953-08-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1953-08-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1953-08-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1953-08-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1953-08-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1953-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1953-09-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1953-09-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1953-09-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1953-09-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1953-09-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1953-09-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1953-09-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1953-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1953-09-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1953-09-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1953-09-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1953-09-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1953-09-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1953-09-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1953-09-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1953-09-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1953-09-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1953-09-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1953-09-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1953-09-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1953-09-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1953-09-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1953-09-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1953-09-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1953-09-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1953-09-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1953-09-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1953-09-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1953-09-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1953-09-30,1.0,,,,,,,,,,,,,,,2.92,,,,,,,,,,,,,
93,1953-10-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1953-10-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1953-10-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1953-10-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1953-10-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1953-10-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1953-10-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1953-10-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1953-10-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1953-10-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1953-10-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1953-10-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1953-10-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1953-10-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1953-10-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1953-10-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1953-10-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1953-10-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1953-10-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1953-10-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1953-10-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1953-10-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1953-10-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1953-10-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1953-10-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1953-10-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1953-10-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1953-10-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1953-10-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1953-10-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1953-10-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1953-11-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1953-11-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1953-11-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1953-11-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1953-11-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1953-11-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1953-11-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1953-11-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1953-11-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1953-11-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1953-11-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1953-11-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1953-11-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1953-11-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1953-11-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1953-11-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1953-11-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1953-11-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1953-11-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1953-11-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1953-11-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1953-11-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1953-11-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1953-11-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1953-11-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1953-11-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1953-11-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1953-11-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1953-11-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1953-11-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1953-12-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1953-12-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1953-12-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1953-12-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1953-12-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1953-12-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1953-12-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1953-12-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1953-12-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1953-12-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1953-12-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1953-12-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1953-12-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1953-12-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1953-12-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1953-12-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1953-12-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1953-12-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1953-12-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1953-12-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1953-12-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1953-12-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1953-12-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1953-12-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1953-12-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1953-12-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1953-12-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1953-12-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1953-12-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1953-12-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1953-12-31,1.0,,,,,,,,,,,,,,,2.64,,,,,,,,,,,,,
185,1954-01-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1954-01-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1954-01-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1954-01-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1954-01-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1954-01-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1954-01-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1954-01-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1954-01-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1954-01-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1954-01-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1954-01-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1954-01-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,1954-01-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1954-01-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1954-01-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1954-01-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,1954-01-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1954-01-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1954-01-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1954-01-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,1954-01-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1954-01-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1954-01-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1954-01-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,1954-01-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1954-01-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1954-01-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1954-01-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1954-01-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1954-01-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1954-02-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1954-02-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1954-02-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1954-02-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,1954-02-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1954-02-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1954-02-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1954-02-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1954-02-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1954-02-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1954-02-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1954-02-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,1954-02-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,1954-02-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1954-02-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1954-02-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1954-02-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1954-02-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,1954-02-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,1954-02-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,1954-02-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1954-02-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,1954-02-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1954-02-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,1954-02-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,1954-02-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1954-02-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1954-02-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,1954-03-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,1954-03-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,1954-03-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,1954-03-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1954-03-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,1954-03-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1954-03-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,1954-03-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1954-03-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,1954-03-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1954-03-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1954-03-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,1954-03-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,1954-03-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,1954-03-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,1954-03-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,1954-03-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,1954-03-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,1954-03-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,1954-03-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,1954-03-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,1954-03-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1954-03-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,1954-03-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1954-03-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,1954-03-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,1954-03-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,1954-03-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,1954-03-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,1954-03-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,1954-03-31,1.0,,,,,,,,,,,,,,,2.44,,,,,,,,,,,,,
275,1954-04-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,1954-04-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,1954-04-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1954-04-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,1954-04-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1954-04-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,1954-04-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,1954-04-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1954-04-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,1954-04-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,1954-04-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,1954-04-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,1954-04-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1954-04-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,1954-04-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1954-04-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,1954-04-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,1954-04-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,1954-04-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,1954-04-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,1954-04-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,1954-04-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,1954-04-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,1954-04-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
