,Date,Stock Indicator Present,DOW JONES UTILITY AVERAGE,S&P 500,DOW JONES COMPOSITE AVERAGE,DOW JONES INDUSTRIAL AVERAGE,DOW JONES TRANSPORTATION AVERAGE
156,2017-09-07,1,743.91,2465.1,7501.28,21784.78,9346.03
157,2017-09-08,1,746.94,2461.43,7517.12,21797.79,9383.74
158,2017-09-09,0,746.94,2461.43,7517.12,21797.79,9383.74
159,2017-09-10,0,746.94,2461.43,7517.12,21797.79,9383.74
160,2017-09-11,1,754.8,2488.11,7602.33,22057.37,9483.69
161,2017-09-12,1,742.12,2496.48,7606.18,22118.86,9544.55
162,2017-09-13,1,738.71,2498.37,7605.09,22158.18,9531.05
163,2017-09-14,1,745.03,2495.62,7619.82,22203.48,9509.77
164,2017-09-15,1,746.25,2500.23,7642.37,22268.34,9546.25
165,2017-09-16,0,746.25,2500.23,7642.37,22268.34,9546.25
166,2017-09-17,0,746.25,2500.23,7642.37,22268.34,9546.25
167,2017-09-18,1,738.71,2503.87,7634.98,22331.35,9514.64
168,2017-09-19,1,736.69,2506.65,7637.54,22370.8,9507.08
169,2017-09-20,1,731.61,2508.24,7669.26,22412.59,9654.37
170,2017-09-21,1,730.78,2500.6,7660.75,22359.23,9668.99
171,2017-09-22,1,726.63,2502.22,7659.64,22349.59,9704.38
172,2017-09-23,0,726.63,2502.22,7659.64,22349.59,9704.38
173,2017-09-24,0,726.63,2502.22,7659.64,22349.59,9704.38
174,2017-09-25,1,732.4,2496.66,7661.33,22296.09,9715.1
175,2017-09-26,1,731.67,2496.84,7671.98,22284.32,9779.85
176,2017-09-27,1,722.22,2507.04,7680.56,22340.71,9841.99
177,2017-09-28,1,723.79,2510.06,7700.81,22381.2,9886.82
178,2017-09-29,1,723.6,2519.36,7711.12,22405.09,9914.35
179,2017-09-30,0,723.6,2519.36,7711.12,22405.09,9914.35
180,2017-10-01,0,723.6,2519.36,7711.12,22405.09,9914.35
181,2017-10-02,1,725.47,2529.12,7742.32,22557.6,9907.83
182,2017-10-03,1,723.59,2534.58,7769.81,22641.67,9973.8
183,2017-10-04,1,731.65,2537.74,7775.87,22661.64,9921.84
184,2017-10-05,1,731.62,2552.07,7795.08,22775.39,9909.42
185,2017-10-06,1,731.15,2549.33,7789.04,22773.67,9886.88
186,2017-10-07,0,731.15,2549.33,7789.04,22773.67,9886.88
187,2017-10-08,0,731.15,2549.33,7789.04,22773.67,9886.88
188,2017-10-09,1,731.79,2544.73,7782.87,22761.07,9864.89
189,2017-10-10,1,739.43,2550.64,7823.06,22830.68,9928.48
190,2017-10-11,1,742.46,2555.24,7846.84,22872.89,9976.66
191,2017-10-12,1,744.88,2550.93,7858.16,22841.01,10038.13
192,2017-10-13,1,737.25,2553.17,7829.01,22871.72,9936.22
193,2017-10-14,0,737.25,2553.17,7829.01,22871.72,9936.22
194,2017-10-15,0,737.25,2553.17,7829.01,22871.72,9936.22
195,2017-10-16,1,734.91,2557.64,7824.29,22956.96,9857.15
196,2017-10-17,1,740.57,2559.36,7834.41,22997.44,9824.14
197,2017-10-18,1,739.62,2561.26,7880.25,23157.6,9899.67
198,2017-10-19,1,747.86,2562.1,7892.29,23163.04,9886.51
199,2017-10-20,1,749.21,2575.21,7945.24,23328.63,9972.1
200,2017-10-21,0,749.21,2575.21,7945.24,23328.63,9972.1
201,2017-10-22,0,749.21,2575.21,7945.24,23328.63,9972.1
202,2017-10-23,1,749.55,2564.98,7928.1,23273.96,9939.39
203,2017-10-24,1,749.37,2569.13,7962.87,23441.76,9951.51
204,2017-10-25,1,746.34,2557.15,7900.82,23329.46,9790.09
205,2017-10-26,1,746.61,2560.4,7935.04,23400.86,9881.46
206,2017-10-27,1,751.62,2581.07,7960.86,23434.19,9931.65
207,2017-10-28,0,751.62,2581.07,7960.86,23434.19,9931.65
208,2017-10-29,0,751.62,2581.07,7960.86,23434.19,9931.65
209,2017-10-30,1,752.45,2572.83,7917.57,23348.74,9802.7
210,2017-10-31,1,753.2,2575.26,7914.68,23377.24,9758.47
211,2017-11-01,1,748.95,2579.36,7924.23,23435.01,9783.81
212,2017-11-02,1,750.97,2579.85,7942.13,23516.26,9778.33
213,2017-11-03,1,753.43,2587.84,7945.6,23539.19,9755.0
214,2017-11-04,0,753.43,2587.84,7945.6,23539.19,9755.0
215,2017-11-05,0,753.43,2587.84,7945.6,23539.19,9755.0
216,2017-11-06,1,749.25,2591.13,7935.29,23548.42,9731.79
217,2017-11-07,1,758.92,2590.64,7940.15,23557.23,9671.79
218,2017-11-08,1,759.59,2594.38,7933.5,23563.36,9630.77
219,2017-11-09,1,759.47,2584.62,7888.95,23461.94,9517.5
220,2017-11-10,1,756.95,2582.3,7873.52,23422.21,9501.36
221,2017-11-11,0,756.95,2582.3,7873.52,23422.21,9501.36
222,2017-11-12,0,756.95,2582.3,7873.52,23422.21,9501.36
223,2017-11-13,1,765.39,2584.84,7894.91,23439.7,9518.84
224,2017-11-14,1,774.47,2578.87,7897.85,23409.47,9489.18
225,2017-11-15,1,767.22,2564.62,7848.4,23271.28,9440.87
226,2017-11-16,1,764.19,2585.64,7912.71,23458.36,9593.09
227,2017-11-17,1,758.08,2578.85,7859.07,23358.24,9483.09
228,2017-11-18,0,758.08,2578.85,7859.07,23358.24,9483.09
229,2017-11-19,0,758.08,2578.85,7859.07,23358.24,9483.09
230,2017-11-20,1,755.96,2582.14,7877.92,23430.33,9521.95
231,2017-11-21,1,757.97,2599.03,7932.57,23590.83,9614.72
232,2017-11-22,1,757.73,2597.08,7922.28,23526.18,9626.66
233,2017-11-23,0,757.73,2597.08,7922.28,23526.18,9626.66
234,2017-11-24,1,759.07,2602.42,7929.28,23557.99,9620.2
235,2017-11-25,0,759.07,2602.42,7929.28,23557.99,9620.2
236,2017-11-26,0,759.07,2602.42,7929.28,23557.99,9620.2
237,2017-11-27,1,762.54,2601.42,7934.05,23580.78,9595.23
238,2017-11-28,1,766.06,2627.04,8024.11,23836.71,9754.03
239,2017-11-29,1,767.55,2626.07,8117.11,23940.68,10076.38
240,2017-11-30,1,770.39,2647.58,8229.31,24272.35,10274.77
241,2017-12-01,1,767.16,2642.22,8196.75,24231.59,10186.63
242,2017-12-02,1,685.76,2821.98,8354.04,25029.2,10769.84
243,2017-12-03,1,686.31,2783.02,8339.07,25007.03,10758.38
244,2017-12-04,1,762.72,2639.44,8240.32,24290.05,10368.58
245,2017-12-05,1,750.62,2629.57,8168.36,24180.64,10229.03
246,2017-12-06,1,753.13,2629.27,8164.65,24140.91,10227.81
247,2017-12-07,1,755.18,2636.98,8210.89,24211.48,10361.39
248,2017-12-08,1,757.69,2651.5,8246.83,24329.16,10402.51
249,2017-12-09,1,741.96,2915.56,8909.81,26743.5,11554.08
250,2017-12-10,0,741.96,2915.56,8909.81,26743.5,11554.08
251,2017-12-11,1,762.59,2659.99,8259.15,24386.03,10370.83
252,2017-12-12,1,748.31,2664.11,8257.46,24504.8,10367.91
253,2017-12-13,1,750.5,2662.85,8283.5,24585.43,10398.98
254,2017-12-14,1,750.57,2652.01,8253.27,24508.66,10327.95
255,2017-12-15,1,753.38,2675.81,8299.85,24651.74,10393.01
256,2017-12-16,0,753.38,2675.81,8299.85,24651.74,10393.01
257,2017-12-17,0,753.38,2675.81,8299.85,24651.74,10393.01
258,2017-12-18,1,745.84,2690.16,8342.54,24792.2,10522.26
259,2017-12-19,1,733.84,2681.47,8318.12,24754.75,10535.91
260,2017-12-20,1,728.98,2679.25,8324.8,24726.65,10628.74
261,2017-12-21,1,719.23,2684.57,8319.37,24782.29,10629.71
262,2017-12-22,1,721.05,2683.34,8326.86,24754.06,10674.97
263,2017-12-23,0,721.05,2683.34,8326.86,24754.06,10674.97
264,2017-12-24,0,721.05,2683.34,8326.86,24754.06,10674.97
265,2017-12-25,0,721.05,2683.34,8326.86,24754.06,10674.97
266,2017-12-26,1,717.03,2680.5,8318.08,24746.21,10672.66
267,2017-12-27,1,720.41,2682.62,8334.56,24774.3,10697.21
268,2017-12-28,1,723.89,2687.54,8344.51,24837.51,10660.11
269,2017-12-29,1,723.37,2673.61,8310.35,24719.22,10612.29
270,2017-12-30,0,723.37,2673.61,8310.35,24719.22,10612.29
271,2017-12-31,0,723.37,2673.61,8310.35,24719.22,10612.29
272,2018-01-01,0,723.37,2673.61,8310.35,24719.22,10612.29
273,2018-01-02,1,715.72,2695.81,8360.91,24824.01,10809.96
274,2018-01-03,1,706.52,2713.06,8366.87,24922.68,10820.74
275,2018-01-04,1,700.52,2723.99,8393.62,25075.13,10854.55
276,2018-01-05,1,700.74,2743.15,8449.13,25295.87,10911.74
277,2018-01-06,0,700.74,2743.15,8449.13,25295.87,10911.74
278,2018-01-07,0,700.74,2743.15,8449.13,25295.87,10911.74
279,2018-01-08,1,707.87,2747.71,8477.39,25283.0,10997.63
280,2018-01-09,1,700.98,2751.29,8490.23,25385.8,11018.46
281,2018-01-10,1,693.14,2748.23,8476.36,25369.13,11030.1
282,2018-01-11,1,690.57,2767.56,8567.27,25574.73,11284.32
283,2018-01-12,1,683.91,2786.24,8619.67,25803.19,11373.38
284,2018-01-13,0,683.91,2786.24,8619.67,25803.19,11373.38
285,2018-01-14,0,683.91,2786.24,8619.67,25803.19,11373.38
286,2018-01-15,0,683.91,2786.24,8619.67,25803.19,11373.38
287,2018-01-16,1,683.19,2776.42,8584.58,25792.86,11227.31
288,2018-01-17,1,687.67,2802.56,8661.3,26115.65,11258.47
289,2018-01-18,1,683.9,2798.03,8637.01,26017.81,11262.86
290,2018-01-19,1,682.77,2810.3,8654.82,26071.72,11305.41
291,2018-01-20,0,682.77,2810.3,8654.82,26071.72,11305.41
292,2018-01-21,0,682.77,2810.3,8654.82,26071.72,11305.41
293,2018-01-22,1,684.86,2832.97,8697.34,26214.6,11357.59
294,2018-01-23,1,691.81,2839.13,8705.44,26210.81,11344.55
295,2018-01-24,1,687.0,2837.54,8670.39,26252.12,11184.4
296,2018-01-25,1,696.52,2839.25,8675.0,26392.79,11007.66
297,2018-01-26,1,699.1,2872.87,8748.39,26616.71,11125.75
298,2018-01-27,0,699.1,2872.87,8748.39,26616.71,11125.75
299,2018-01-28,0,699.1,2872.87,8748.39,26616.71,11125.75
300,2018-01-29,1,691.11,2853.53,8698.19,26439.48,11114.23
301,2018-01-30,1,691.71,2822.43,8596.63,26076.89,10965.41
302,2018-01-31,1,699.25,2823.81,8624.77,26149.39,10972.06
303,2018-02-01,1,689.24,2821.98,8603.81,26186.71,10920.06
304,2018-02-02,1,684.48,2762.13,8416.29,25520.96,10687.18
305,2018-02-03,0,684.48,2762.13,8416.29,25520.96,10687.18
306,2018-02-04,0,684.48,2762.13,8416.29,25520.96,10687.18
307,2018-02-05,1,672.89,2648.94,8096.16,24345.75,10350.41
308,2018-02-06,1,662.32,2695.14,8226.93,24912.77,10528.85
309,2018-02-07,1,657.76,2681.66,8222.43,24893.35,10560.59
310,2018-02-08,1,647.9,2581.0,7918.7,23860.46,10159.6
311,2018-02-09,1,661.03,2619.55,7999.61,24190.9,10136.61
312,2018-02-10,0,661.03,2619.55,7999.61,24190.9,10136.61
313,2018-02-11,0,661.03,2619.55,7999.61,24190.9,10136.61
314,2018-02-12,1,666.98,2656.0,8124.88,24601.27,10301.28
315,2018-02-13,1,670.08,2662.94,8155.01,24640.45,10380.71
316,2018-02-14,1,662.25,2698.63,8212.88,24893.49,10482.16
317,2018-02-15,1,675.72,2731.2,8311.04,25200.37,10556.35
318,2018-02-16,1,681.12,2732.22,8312.01,25219.38,10502.33
319,2018-02-17,0,681.12,2732.22,8312.01,25219.38,10502.33
320,2018-02-18,0,681.12,2732.22,8312.01,25219.38,10502.33
321,2018-02-19,0,681.12,2732.22,8312.01,25219.38,10502.33
322,2018-02-20,1,673.21,2716.26,8214.19,24964.75,10340.6
323,2018-02-21,1,664.82,2701.33,8174.68,24797.78,10372.06
324,2018-02-22,1,668.2,2703.96,8224.59,24962.48,10428.87
325,2018-02-23,1,685.76,2747.3,8354.04,25309.99,10578.9
326,2018-02-24,0,685.76,2747.3,8354.04,25309.99,10578.9
327,2018-02-25,0,685.76,2747.3,8354.04,25309.99,10578.9
328,2018-02-26,1,683.73,2779.6,8469.47,25709.27,10769.84
329,2018-02-27,1,672.02,2744.28,8338.24,25410.03,10523.79
330,2018-02-28,1,668.81,2713.83,8228.28,25029.2,10381.99
331,2018-03-01,1,668.75,2677.67,8135.78,24608.98,10330.72
332,2018-03-02,1,665.85,2691.25,8117.68,24538.06,10332.98
333,2018-03-03,0,665.85,2691.25,8117.68,24538.06,10332.98
334,2018-03-04,0,665.85,2691.25,8117.68,24538.06,10332.98
335,2018-03-05,1,677.91,2720.94,8206.39,24874.76,10348.34
336,2018-03-06,1,669.68,2728.12,8213.39,24884.12,10435.52
337,2018-03-07,1,664.8,2726.8,8183.38,24801.36,10408.88
338,2018-03-08,1,669.88,2738.97,8222.44,24895.21,10465.63
339,2018-03-09,1,672.28,2786.57,8371.5,25335.74,10739.91
340,2018-03-10,0,672.28,2786.57,8371.5,25335.74,10739.91
341,2018-03-11,0,672.28,2786.57,8371.5,25335.74,10739.91
342,2018-03-12,1,675.34,2783.02,8339.07,25178.61,10706.93
343,2018-03-13,1,677.62,2765.31,8320.97,25007.03,10758.38
344,2018-03-14,1,684.72,2749.48,8244.43,24758.12,10573.48
345,2018-03-15,1,684.23,2747.33,8269.99,24873.66,10592.01
346,2018-03-16,1,691.82,2752.01,8316.88,24946.51,10683.82
347,2018-03-17,0,691.82,2752.01,8316.88,24946.51,10683.82
348,2018-03-18,0,691.82,2752.01,8316.88,24946.51,10683.82
349,2018-03-19,1,686.31,2712.92,8234.61,24610.91,10646.57
350,2018-03-20,1,682.94,2716.94,8261.85,24727.27,10694.31
351,2018-03-21,1,679.56,2711.93,8239.51,24682.31,10657.73
352,2018-03-22,1,683.15,2643.69,8039.11,23957.89,10353.46
353,2018-03-23,1,673.68,2588.26,7899.6,23533.2,10163.32
354,2018-03-24,0,673.68,2588.26,7899.6,23533.2,10163.32
355,2018-03-25,0,673.68,2588.26,7899.6,23533.2,10163.32
356,2018-03-26,1,680.17,2658.55,8085.71,24202.6,10373.21
357,2018-03-27,1,689.73,2612.62,7993.26,23857.71,10181.42
358,2018-03-28,1,688.63,2605.0,7991.09,23848.42,10188.19
359,2018-03-29,1,692.63,2640.87,8092.53,24103.11,10396.56
360,2018-03-30,0,692.63,2640.87,8092.53,24103.11,10396.56
361,2018-03-31,0,692.63,2640.87,8092.53,24103.11,10396.56
362,2018-04-01,0,692.63,2640.87,8092.53,24103.11,10396.56
363,2018-04-02,1,686.98,2581.88,7949.36,23644.19,10190.57
364,2018-04-03,1,689.01,2614.45,8072.44,24033.36,10394.25
365,2018-04-04,1,690.65,2644.69,8118.49,24264.3,10388.03
366,2018-04-05,1,696.43,2662.84,8189.09,24505.22,10453.66
367,2018-04-06,1,691.59,2604.47,8003.24,23932.76,10146.37
368,2018-04-07,0,691.59,2604.47,8003.24,23932.76,10146.37
369,2018-04-08,0,691.59,2604.47,8003.24,23932.76,10146.37
370,2018-04-09,1,692.29,2613.16,8007.48,23979.1,10119.36
371,2018-04-10,1,687.79,2656.87,8106.61,24408.0,10228.42
372,2018-04-11,1,686.68,2642.19,8054.73,24189.45,10192.82
373,2018-04-12,1,678.16,2663.99,8133.74,24483.05,10360.41
374,2018-04-13,1,682.78,2656.3,8119.73,24360.14,10369.49
375,2018-04-14,0,682.78,2656.3,8119.73,24360.14,10369.49
376,2018-04-15,0,682.78,2656.3,8119.73,24360.14,10369.49
377,2018-04-16,1,692.36,2677.84,8229.53,24573.04,10610.18
378,2018-04-17,1,700.24,2706.39,8280.21,24786.63,10592.56
379,2018-04-18,1,697.82,2708.64,8307.45,24748.07,10770.15
380,2018-04-19,1,697.1,2693.13,8268.69,24664.89,10671.81
381,2018-04-20,1,691.14,2670.14,8199.37,24462.94,10578.9
382,2018-04-21,0,691.14,2670.14,8199.37,24462.94,10578.9
383,2018-04-22,0,691.14,2670.14,8199.37,24462.94,10578.9
384,2018-04-23,1,691.34,2670.29,8206.17,24448.69,10621.15
385,2018-04-24,1,695.41,2634.56,8082.7,24024.13,10400.1
386,2018-04-25,1,694.93,2639.4,8117.01,24083.83,10508.13
387,2018-04-26,1,702.3,2666.94,8154.93,24322.34,10413.88
388,2018-04-27,1,708.68,2669.91,8193.09,24311.19,10549.4
389,2018-04-28,0,708.68,2669.91,8193.09,24311.19,10549.4
390,2018-04-29,0,708.68,2669.91,8193.09,24311.19,10549.4
391,2018-04-30,1,707.01,2648.05,8134.21,24163.15,10423.57
392,2018-05-01,1,705.23,2654.8,8111.14,24099.05,10388.39
393,2018-05-02,1,703.59,2635.67,8052.36,23924.98,10285.91
