Value,Date,Sub-Sector,Super Region,Measure,Frequency,Region,Source,Indicator,Subject
5.11,1998-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
0.93,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.27,2011-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
9.69,1992-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.14,2004-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.27,1998-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.93,1997-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.66,2009-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.76,1997-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.04,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.06,2012-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
0.79,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.02,2006-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
9.13,1994-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
0.85,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6.26,1997-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.61,2020-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.36,2010-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.64,2005-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6.25,1997-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
0.52,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.17,2003-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.12,2015-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.54,2006-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.19,2004-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
7.6,1996-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.22,2011-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.55,2010-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.38,2005-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
8.02,1995-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
8.37,1995-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
7.55,1996-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.13,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.35,1999-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
7.76,1993-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.29,1999-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.46,2020-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.34,2015-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.68,2010-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.24,2005-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.62,2000-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6.56,1996-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
2.9,2013-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.56,2008-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.06,1999-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.16,2018-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.06,2018-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.05,2008-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.13,2003-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
10.7,1991-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
7.32,1996-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.64,2020-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.66,2010-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.29,2000-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.18,2015-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
0.95,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.4,2005-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.5,2020-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.07,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.36,2003-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.44,2000-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
9.99,1991-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
10.19,1991-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.76,2002-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.97,2003-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.02,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
7.95,1994-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.84,2006-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
0.92,2015-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.44,2000-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.26,2019-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.89,2009-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.54,2002-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.1,2012-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.96,2009-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.66,1998-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
9.22,1993-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.26,2019-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.89,2012-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.26,2002-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.01,2013-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.28,1998-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
10.27,1991-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
7.13,1993-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
2.84,2013-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.08,1999-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
7.12,1994-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.32,2019-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.13,2008-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
8.8,1993-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
2.56,2014-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.08,2001-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.34,2007-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.6,2012-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.5,2008-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.77,2001-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.11,2002-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
10.14,1992-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
2.67,2013-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.46,2007-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.41,2019-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.73,2014-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
10.98,1995-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
6.21,2007-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
5.58,2004-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
5.31,2004-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
5.85,2001-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
6,2014-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
6.31,2011-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
6.56,2011-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
10.98,1995-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
4.35,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
6.51,2007-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
6,2014-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
6.03,2006-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
5.85,2001-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
5.31,2009-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
10.98,1994-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
7.92,1998-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
4.35,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
6.56,2011-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
5.31,2004-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
8.4,1998-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
10.08,1997-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
5.31,2009-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
8.64,1997-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
4.35,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
6.56,2012-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
4.35,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
5.85,2006-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
10.98,1994-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
4.35,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
