Value,Date,Product Id,ProductID_Contract,Exchange City,Super Region,Time Level,Unit,Source,Sub-Sector,Product Type,Exchange Country,Product Description
-3.24,2020-12-21,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.45,2021-02-19,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.38,2021-01-07,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.28,2020-12-22,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.37,2021-02-16,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.29,2021-01-04,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.41,2021-02-17,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.38,2021-01-05,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.33,2021-02-15,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.35,2021-02-12,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-2.98,2020-12-09,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.38,2021-02-10,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.33,2021-02-11,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.19,2020-12-14,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.15,2020-12-15,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.39,2021-02-09,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.09,2020-12-10,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.31,2021-02-08,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.1,2020-12-11,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.17,2021-02-05,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.16,2021-02-03,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.16,2021-02-04,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.23,2021-02-01,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.15,2021-02-02,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.17,2021-01-28,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.21,2021-01-29,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.32,2021-01-26,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.22,2021-01-27,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
354,2021-03-05,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
343.5,2021-03-04,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
299.75,2021-01-25,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
332.5,2021-03-03,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
297.25,2021-01-22,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
323.5,2021-03-02,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
327.25,2021-03-01,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
301.5,2021-01-20,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
279.5,2020-12-29,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
300.75,2021-01-21,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
277.75,2020-12-28,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
302.25,2021-01-19,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
297,2021-01-18,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
299,2021-01-15,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
282,2020-12-30,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
281.5,2020-12-31,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
341.75,2021-02-25,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
304.25,2021-01-13,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
331.5,2021-02-26,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
306.5,2021-01-14,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
335.5,2021-02-23,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
299.5,2021-01-11,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
343.75,2021-02-24,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
303.5,2021-01-12,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
284,2020-12-18,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
334.25,2021-02-22,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
276.5,2020-12-16,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
279.5,2020-12-17,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
301.75,2021-01-08,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
280,2020-12-23,365,365_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,FUEL OIL 380 CST SINGAPORE FUTURE
